doc_id;doi;title;assay_id;compound_key;molregno;canonical_smiles;standard_type;standard_value;standard_relation;standard_units;pchembl_value
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;16;146359;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1cccc(Cl)c1;Ki;199.53;=;nM;6.7
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;Mesulergine;10959;CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21;Ki;1.995;=;nM;8.7
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;28;146400;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C#N)cc1;Ki;398.11;=;nM;6.4
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;8;146461;COc1ccc(-c2ccccc2)cc1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O;Ki;10.0;=;nM;8.0
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;26;146851;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(NC(C)=O)cc1;Ki;316.23;=;nM;6.5
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;20;146779;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(F)cc1;Ki;125.89;=;nM;6.9
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;21;146874;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C)cc1;Ki;316.23;=;nM;6.5
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;18;146358;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1;Ki;316.23;=;nM;6.5
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;9;147124;COc1cc(OC)c(-c2ccccc2)cc1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O;Ki;100.0;=;nM;7.0
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;17;145881;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccccc1Cl;Ki;398.11;=;nM;6.4
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;4;145946;COc1ccc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)c1;Ki;125.89;=;nM;6.9
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;22;146778;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(C)C)cc1;Ki;1258.93;=;nM;5.9
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;13;145876;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccccc1;Ki;630.96;=;nM;6.2
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;15;145769;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(Cl)cc1;Ki;79.43;=;nM;7.1
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;3;147121;COc1ccc(Cl)cc1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O;Ki;50.12;=;nM;7.3
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;5;147122;COc1cc(Cl)ccc1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O;Ki;199.53;=;nM;6.7
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;Spiperone;4634;O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1;Ki;1258.93;=;nM;5.9
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;24;147343;COc1ccc(S(=O)(=O)Nc2cc(C(=O)CCCCN3CCC4(CC3)NC(=O)NC4=O)c(OC)cc2OC)cc1;Ki;1258.93;=;nM;5.9
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;25;146332;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(C)=O)cc1;Ki;251.19;=;nM;6.6
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;7;147123;COc1cc(Cl)c(Cl)cc1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O;Ki;6.31;=;nM;8.2
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;23;146873;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(OC(F)(F)F)cc1;Ki;398.11;=;nM;6.4
1883;10.1016/S0960-894X(96)00503-3;Some benzenesulfonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor;2889;27;146401;COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(S(N)(=O)=O)cc1;Ki;3162.28;=;nM;5.5
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;34;84003;COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cnc(Oc3cccnc3C)cc1C)CC2;Ki;251.19;=;nM;6.6
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;21;84305;CCc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2;Ki;125.89;=;nM;6.9
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;22;84265;Cc1cc2c(cc1Cl)CCN2C(=O)Nc1ccc(Oc2cccnc2C)nc1;Ki;125.89;=;nM;6.9
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;20;84266;Cc1cc2c(cc1Br)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2;Ki;63.1;=;nM;7.2
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;30;83979;Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3Cl)nc1)CC2;Ki;50.12;=;nM;7.3
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;39;84053;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nn1)CC2;Ki;125.89;=;nM;6.9
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;7;83835;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(F)ccc32)cn1;Ki;5011.87;=;nM;5.3
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;15;83760;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3c2ccc(Cl)c3Cl)cn1;Ki;501.19;=;nM;6.3
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;25;83711;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3c2cc(Cl)c(C)c3Cl)cn1;Ki;39.81;=;nM;7.4
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;12;83856;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3ccc(Cl)cc32)cn1;Ki;794.33;=;nM;6.1
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;26;84150;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3c2cc(C(F)(F)F)c2c3CCO2)cn1;Ki;63.1;=;nM;7.2
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;4;83831;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3c(Cl)cccc32)cn1;Ki;2511.89;=;nM;5.6
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;1;14131;Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2;Ki;100.0;=;nM;7.0
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;14;83812;Cc1ccc2c(c1Br)CCN2C(=O)Nc1ccc(Oc2cccnc2C)nc1;Ki;251.19;=;nM;6.6
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;17;84202;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(Cl)c(Cl)cc32)cn1;Ki;316.23;=;nM;6.5
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;29;83456;Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C(C)C)nc1)CC2;Ki;199.53;=;nM;6.7
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;33;83972;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cncnc3C)nc1)CC2;Ki;12.59;=;nM;7.9
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;35;84222;Cc1cc2c(cc1Cl)N(C(=O)Nc1cnc(Oc3cccnc3C)c(C)c1)CC2;Ki;31.62;=;nM;7.5
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;41;84091;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cnc(Oc3cccnc3C)cn1)CC2;Ki;79.43;=;nM;7.1
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;19;84163;Cc1cc2c(cc1F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2;Ki;158.49;=;nM;6.8
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;3;83682;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3ccccc32)cn1;Ki;1995.26;=;nM;5.7
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;2;14132;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2;Ki;100.0;=;nM;7.0
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;31;83974;Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cnccc3C)nc1)CC2;Ki;31.62;=;nM;7.5
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;40;84092;Cc1cc2c(cc1Cl)N(C(=O)Nc1cnc(Oc3cccnc3C)nc1)CC2;Ki;63.1;=;nM;7.2
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;36;84216;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cnc(Oc3cccnc3C)c(Cl)c1)CC2;Ki;39.81;=;nM;7.4
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;11;83893;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(C(F)(F)F)ccc32)cn1;Ki;630.96;=;nM;6.2
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;9;83999;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(Br)ccc32)cn1;Ki;630.96;=;nM;6.2
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;37;84179;Cc1cc2c(cc1Cl)N(C(=O)Nc1cnc(Oc3cccnc3C)c(Cl)c1)CC2;Ki;19.95;=;nM;7.7
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;10;84034;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(I)ccc32)cn1;Ki;316.23;=;nM;6.5
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;27;84114;CCc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(C)c(Cl)cc32)cn1;Ki;50.12;=;nM;7.3
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;28;83457;CCCc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(C)c(Cl)cc32)cn1;Ki;100.0;=;nM;7.0
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;13;83853;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3ccc(C(F)(F)F)cc32)cn1;Ki;398.11;=;nM;6.4
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;8;84035;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(Cl)ccc32)cn1;Ki;1995.26;=;nM;5.7
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;16;83730;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(F)c(Cl)cc32)cn1;Ki;630.96;=;nM;6.2
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;18;84201;Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(Br)c(C(F)(F)F)cc32)cn1;Ki;100.0;=;nM;7.0
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;24;84259;CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2;Ki;39.81;=;nM;7.4
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;32;83933;Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cnccc3Cl)nc1)CC2;Ki;12.59;=;nM;7.9
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;23;14118;COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2;Ki;50.12;=;nM;7.3
3832;10.1016/s0960-894x(00)00364-4;1-[2-[(Heteroaryloxy)heteroaryl]carbamoyl]indolines: novel and selective 5-HT2C receptor inverse agonists with potential as antidepressant/anxiolytic agents.;2884;38;84093;Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nn1)CC2;Ki;158.49;=;nM;6.8
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;10;83686;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCc3cncn3C)nc1)CC2;Ki;6.31;=;nM;8.2
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;4;83815;Cc1cccc(COc2ccc(NC(=O)N3CCc4cc(C)c(C(F)(F)F)cc43)cn2)n1;Ki;25.12;=;nM;7.6
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;19;83876;O=C(Nc1ccc(OCc2ccccn2)nc1)N1CCc2cc(Cl)ccc21;Ki;1000.0;=;nM;6.0
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;1;83784;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCc3ccccn3)nc1)CC2;Ki;31.62;=;nM;7.5
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;12;83685;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cnc(OCc3ccccn3)c(C)c1)CC2;Ki;7.943;=;nM;8.1
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;16;83848;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(COc3ccccn3)nc1)CC2;Ki;199.53;=;nM;6.7
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;15;83852;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(CCc3ccccn3)nc1)CC2;Ki;19.95;=;nM;7.7
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;17;83808;Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCCc3ccccn3)nc1)CC2;Ki;19.95;=;nM;7.7
3833;10.1016/s0960-894x(00)00365-6;1-[2-[(Heteroarylmethoxy)aryl]carbamoyl]indolines are selective and orally active 5-HT2C receptor inverse agonists.;2885;7;83986;Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(OCc3ccncc3)nc1)CC2;Ki;7.943;=;nM;8.1
